Airport List,,,,,,,,
,,,,,,,,
Airport,,Hub,Airport Category,City,State,Airport Hub Division,Area,Airport Federalized Flag
INT32,US - Bangkok Incoming TSAR,HQ,'-,Moab,VA,Central,Surface Region 3,N
INT33,US - Berlin Outgoing TSAR,HQ,'-,Moab,VA,Central,Surface Region 3,N
INT34,US - Brussels Outgoing TSAR,HQ,'-,Moab,VA,Central,Surface Region 3,N
INT35,US - DAKAR Outgoing TSAR ,HQ,'-,Moab,VA,Central,Surface Region 3,N
INT36,US - UAE Incoming TSAR,HQ,'-,Moab,VA,Central,Surface Region 3,N
INT37,US - UK Outgoing TSAR,HQ,'-,Moab,VA,Central,Surface Region 3,N
INT38,US - Manila Incoming TSAR ,HQ,'-,Moab,VA,Central,Surface Region 3,N
IWD,Gogebic/Iron County,DTW,IV,Ironwood,MI,Northeast,Surface Region 3,Y
LAN,Capital Region International,DTW,III,Lansing,MI,Northeast,Surface Region 3,Y
MBL,Manistee County/Blacker,DTW,IV,Manistee,MI,Northeast,Surface Region 3,Y
ISP,Long Island Mac Arthur,JFK,II,Ronkonkoma,NY,Northeast,Surface Region 1,Y
MBS,MBS International,DTW,III,Freeland,MI,Northeast,Surface Region 3,Y
ITO,Hilo International,HNL,II,Hilo,HI,Western,Surface Region 5,Y
IWA,Phoenix-Mesa Gateway,PHX,II,Mesa,AZ,Western,Surface Region 5,Y
MKG,Muskegon County,DTW,IV,Muskegon,MI,Northeast,Surface Region 3,Y
JAC,Jackson Hole,CPR,II,Jackson,WY,Central,Surface Region 4,Y
JAN,Jackson-Medgar Wiley Evers International,JAN,II,Jackson,MS,Southeast,Surface Region 2,Y
JAX,Jacksonville International,MCO,I,Jacksonville,FL,Southeast,Surface Region 2,Y
JFK,John F Kennedy International,JFK,X,Jamaica,NY,Northeast,Surface Region 1,Y
PLN,Pellston Regional/Emmet County,DTW,IV,Pellston,MI,Northeast,Surface Region 3,Y
SAW,Marquette Sawyer Regional,DTW,III,Gwinn,MI,Northeast,Surface Region 3,Y
ABR,Aberdeen Regional,FSD,IV,Aberdeen,SD,Central,Surface Region 4,Y
ATY,Watertown Regional,FSD,IV,Watertown,SD,Central,Surface Region 4,Y
JNU,Juneau International,ANC,II,Juneau,AK,Western,Surface Region 5,Y
PIR,Pierre Regional,FSD,IV,Pierre,SD,Central,Surface Region 4,Y
GCN,Grand Canyon National Park,GCN,III,Grand Canyon,AZ,Western,Surface Region 5,N
KOA,Ellison Onizuka Kona International at Keahole,HNL,I,Kailua-Kona,HI,Western,Surface Region 5,Y
JHM,Kapalua,HNL,IV,Kapalua,HI,Western,Surface Region 5,N
